timestamp,open,high,low,close,volume
2026-03-05 08:00:00+08:00,90.79,92.9,87.86,88.73,11044532.3
2026-03-06 08:00:00+08:00,88.74,89.26,83.56,84.65,9857667.46
2026-03-07 08:00:00+08:00,84.65,85.03,82.22,83.17,4709453.64
2026-03-08 08:00:00+08:00,83.17,84.06,80.16,81.54,7765839.62
2026-03-09 08:00:00+08:00,81.55,87.03,81.49,84.9,11464414.79
2026-03-10 08:00:00+08:00,84.91,88.78,84.78,85.81,11721167.25
2026-03-11 08:00:00+08:00,85.81,88.08,84.28,86.53,10686261.33
2026-03-12 08:00:00+08:00,86.53,87.66,84.62,86.79,10517855.29
2026-03-13 08:00:00+08:00,86.78,92.97,86.66,88.12,14860764.07
2026-03-14 08:00:00+08:00,88.12,88.65,86.44,87.98,4530961.17
2026-03-15 08:00:00+08:00,87.98,93.23,87.3,92.29,8155624.86
2026-03-16 08:00:00+08:00,92.29,97.63,91.14,96.14,13717432.44
2026-03-17 08:00:00+08:00,96.14,96.94,93.08,94.55,8748575.33
2026-03-18 08:00:00+08:00,94.55,95.59,88.46,90.02,10695592.26
2026-03-19 08:00:00+08:00,90.02,91.37,86.88,88.84,8982570.91
2026-03-20 08:00:00+08:00,88.83,90.41,88.07,89.79,7009121.15
2026-03-21 08:00:00+08:00,89.8,90.77,87.04,87.48,4305737.54
2026-03-22 08:00:00+08:00,87.47,89.14,85.01,86.16,7599041.98
2026-03-23 08:00:00+08:00,86.16,92.25,85.02,91.4,13937703.8
2026-03-24 08:00:00+08:00,91.39,92.19,88.34,90.75,9978264.69
2026-03-25 08:00:00+08:00,90.76,93.45,90.66,91.66,8769359.67
2026-03-26 08:00:00+08:00,91.65,91.94,85.37,86.48,9796373.07
2026-03-27 08:00:00+08:00,86.48,86.99,81.74,83.02,10254179.33
2026-03-28 08:00:00+08:00,83.02,84.25,81.6,82.02,6011956.11
2026-03-29 08:00:00+08:00,82.02,83.18,78.75,81.34,6899559.92
2026-03-30 08:00:00+08:00,81.35,84.97,81.06,82.51,10004520.58
2026-03-31 08:00:00+08:00,82.51,84.59,79.86,83.15,11878004.51
2026-04-01 08:00:00+08:00,83.15,86.58,80.71,81.14,12955990.1
2026-04-02 08:00:00+08:00,81.13,81.74,76.63,78.89,13511671.56
2026-04-03 08:00:00+08:00,78.9,80.89,78.81,80.33,7190306.35
2026-04-04 08:00:00+08:00,80.34,81.62,79.48,80.79,4706052.53
2026-04-05 08:00:00+08:00,80.8,82.08,78.46,81.85,7296521.98
2026-04-06 08:00:00+08:00,81.86,83.17,79.53,79.95,9171946.66
2026-04-07 08:00:00+08:00,79.95,87.14,78.31,85.51,14256718.04
2026-04-08 08:00:00+08:00,85.51,85.86,82.17,82.52,8240984.98
2026-04-09 08:00:00+08:00,82.52,85.91,81.37,83.29,9240186.98
2026-04-10 08:00:00+08:00,83.29,85.64,82.56,84.77,7642703.61
2026-04-11 08:00:00+08:00,84.78,86.24,83.71,84.88,6246647.19
2026-04-12 08:00:00+08:00,84.88,84.96,81.22,81.49,7868738.6
2026-04-13 08:00:00+08:00,81.49,86.8,81.36,86.51,9667896.53
2026-04-14 08:00:00+08:00,86.51,87.64,83.22,83.65,10070765.97
2026-04-15 08:00:00+08:00,83.66,85.81,82.59,84.85,8078844.43
2026-04-16 08:00:00+08:00,84.86,90.47,83.74,89.01,11718320.22
2026-04-17 08:00:00+08:00,89.02,90.74,87.31,88.71,11588086.18
2026-04-18 08:00:00+08:00,88.71,89.11,85.72,86.1,5823158.74
2026-04-19 08:00:00+08:00,86.1,87.08,82.88,83.43,9116028.39
2026-04-20 08:00:00+08:00,83.43,86.19,83.29,85.25,6804993.1
2026-04-21 08:00:00+08:00,85.25,86.85,84.24,85.99,7025588.63
2026-04-22 08:00:00+08:00,85.99,89.28,85.97,86.82,8472282.71
2026-04-23 08:00:00+08:00,86.83,87.11,84.4,86.07,7895952.72
2026-04-24 08:00:00+08:00,86.07,86.9,84.86,86.14,5824596.38
2026-04-25 08:00:00+08:00,86.13,86.78,85.46,86.12,3331259.4
2026-04-26 08:00:00+08:00,86.13,87.27,85.78,86.86,4801501.0
2026-04-27 08:00:00+08:00,86.87,88.06,83.56,84.76,8891377.17
2026-04-28 08:00:00+08:00,84.77,84.89,82.9,84.01,5299171.69
2026-04-29 08:00:00+08:00,84.0,85.56,81.34,83.02,8650182.72
2026-04-30 08:00:00+08:00,83.02,83.98,82.11,83.04,4184097.79
2026-05-01 08:00:00+08:00,83.04,84.82,83.02,83.71,5296778.28
2026-05-02 08:00:00+08:00,83.71,84.95,83.38,84.24,3465450.36
2026-05-03 08:00:00+08:00,84.24,84.96,83.52,83.87,3440633.96
2026-05-04 08:00:00+08:00,83.87,85.87,83.19,84.03,9939146.54
2026-05-05 08:00:00+08:00,84.03,86.96,83.97,86.24,6640033.04
2026-05-06 08:00:00+08:00,86.24,90.04,86.06,89.11,9260815.22
2026-05-07 08:00:00+08:00,89.12,90.39,87.6,88.39,9281768.01
2026-05-08 08:00:00+08:00,88.4,92.76,87.56,91.96,9621677.5
2026-05-09 08:00:00+08:00,91.96,94.12,91.8,93.06,7039159.22
2026-05-10 08:00:00+08:00,93.06,96.92,92.53,96.43,12124757.69
2026-05-11 08:00:00+08:00,96.42,98.36,94.23,97.3,10970053.3
2026-05-12 08:00:00+08:00,97.3,97.61,93.55,94.24,9114115.82
2026-05-13 08:00:00+08:00,94.24,95.93,90.23,91.11,10391822.97
2026-05-14 08:00:00+08:00,91.11,93.62,89.76,92.11,8246476.01
2026-05-15 08:00:00+08:00,92.1,92.61,88.47,89.19,7509408.02
2026-05-16 08:00:00+08:00,89.19,89.4,85.47,86.49,5821294.24
2026-05-17 08:00:00+08:00,86.49,87.24,83.29,85.17,6123201.14
2026-05-18 08:00:00+08:00,85.17,85.75,83.42,85.34,7056130.66
2026-05-19 08:00:00+08:00,85.34,85.95,83.62,84.24,4375767.06
2026-05-20 08:00:00+08:00,84.25,87.03,83.79,86.1,6002914.44
2026-05-21 08:00:00+08:00,86.1,87.97,85.26,87.3,7330606.16
2026-05-22 08:00:00+08:00,87.29,87.82,83.9,84.34,6731011.92
2026-05-23 08:00:00+08:00,84.35,87.5,81.35,85.71,9558608.29
2026-05-24 08:00:00+08:00,85.72,87.0,83.57,85.22,5418105.1
2026-05-25 08:00:00+08:00,85.22,86.48,84.64,84.99,3980055.08
2026-05-26 08:00:00+08:00,85.0,86.1,83.08,83.66,6659376.04
2026-05-27 08:00:00+08:00,83.66,84.78,82.06,82.38,5967098.18
2026-05-28 08:00:00+08:00,82.37,82.97,79.93,82.08,7645813.33
2026-05-29 08:00:00+08:00,82.07,83.2,80.3,81.99,5338478.47
2026-05-30 08:00:00+08:00,81.98,83.14,81.82,82.69,2654214.82
2026-05-31 08:00:00+08:00,82.69,83.39,81.29,82.4,3416089.86
2026-06-01 08:00:00+08:00,82.41,83.08,79.06,81.24,7662187.62
2026-06-02 08:00:00+08:00,81.24,81.26,74.32,75.15,10161111.71
